Provider_id,County,State,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,Start_Date,End_Date
490005,WINCHESTER CITY,VA,"$22,517","$23,717","$25,030",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
121307,HAWAII,HI,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
670080,BELL,TX,"$21,141","$23,368","$25,654",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
440104,HAMILTON,TN,"$21,009","$21,836","$22,663",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
010085,MORGAN,AL,"$14,945","$15,670","$16,328",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
330175,CORTLAND,NY,"$13,401","$14,231","$15,022",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
290022,CLARK,NV,"$25,327","$27,990","$30,987",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
361311,HARRISON,OH,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
141323,MASSAC,IL,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
171340,DICKINSON,KS,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
490079,MARTINSVILLE CITY,VA,"$15,204","$16,284","$17,408",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
010089,WALKER,AL,"$14,821","$15,862","$16,952",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
