Provider_id,County,State,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,Start_Date,End_Date
190201,calcasieu,la,14002,16437,19175,2013-07-01,2016-06-30
250102,hinds,ms,14938,15696,16484,2013-07-01,2016-06-30
310073,monmouth,nj,18441,19189,19984,2013-07-01,2016-06-30
140276,cook,il,16481,17547,18558,2013-07-01,2016-06-30
050351,los angeles,ca,21872,23597,25419,2013-07-01,2016-06-30
670075,harris,tx,22460,25611,29184,2013-07-01,2016-06-30
100117,duval,fl,21726,24157,26704,2013-07-01,2016-06-30
140065,cook,il,17503,18303,19105,2013-07-01,2016-06-30
450389,henderson,tx,20089,21707,23453,2013-04-01,2016-03-31
251330,franklin,ms,23184,26102,29194,2013-07-01,2016-06-30
140187,saint clair,il,21057,22677,24394,2013-04-01,2016-03-31
420080,beaufort,sc,14085,14904,15695,2013-07-01,2016-06-30
210063,baltimore,md,20935,22123,23371,2013-07-01,2016-06-30
070002,hartford,ct,20574,20915,21274,2013-04-01,2016-03-31
140202,lake,il,17202,18094,19054,2013-07-01,2016-06-30
450638,harris,tx,18573,19942,21326,2013-07-01,2016-06-30
380052,malheur,or,21911,23128,24401,2013-04-01,2016-03-31
151315,steuben,in,15004,16771,18589,2013-07-01,2016-06-30
210056,baltimore city,md,21319,22001,22741,2013-04-01,2016-03-31
140252,cook,il,16159,17014,17950,2013-07-01,2016-06-30
360352,mahoning,oh,21108,21853,22637,2013-04-01,2016-03-31
050590,sacramento,ca,15623,16795,17993,2013-07-01,2016-06-30
511321,upshur,wv,13375,15550,18123,2013-07-01,2016-06-30
450351,erath,tx,20298,21439,22700,2013-04-01,2016-03-31
390184,fayette,pa,11800,13875,15819,2013-07-01,2016-06-30
360001,hamilton,oh,17392,18288,19226,2013-07-01,2016-06-30
390258,bucks,pa,16476,17138,17868,2013-07-01,2016-06-30
490009,charlottesville city,va,15775,16638,17517,2013-07-01,2016-06-30
460004,weber,ut,20078,20591,21118,2013-04-01,2016-03-31
440018,carter,tn,14267,16105,18191,2013-07-01,2016-06-30
520038,washington,wi,12866,14494,16211,2013-07-01,2016-06-30
250099,leflore,ms,19763,21649,23780,2013-07-01,2016-06-30
050054,riverside,ca,15433,16669,17977,2013-04-01,2016-03-31
230047,macomb,mi,22221,22821,23446,2013-04-01,2016-03-31
350002,burleigh,nd,20150,21699,23384,2013-07-01,2016-06-30
070018,fairfield,ct,23355,23975,24616,2013-04-01,2016-03-31
050352,el dorado,ca,18862,19791,20784,2013-04-01,2016-03-31
520138,milwaukee,wi,16177,16786,17426,2013-07-01,2016-06-30
040084,saline,ar,20290,22305,24423,2013-07-01,2016-06-30
420038,laurens,sc,13996,15439,17054,2013-07-01,2016-06-30
040014,white,ar,16379,17054,17707,2013-07-01,2016-06-30
500139,thurston,wa,18141,18683,19235,2013-04-01,2016-03-31
490084,essex,va,14445,15970,17809,2013-07-01,2016-06-30
291302,white pine,nv,14828,17409,19904,2013-07-01,2016-06-30
161354,ida,ia,16029,18509,21512,2013-07-01,2016-06-30
250043,neshoba,ms,11856,13083,14438,2013-07-01,2016-06-30
320009,bernalillo,nm,15153,16234,17466,2013-07-01,2016-06-30
330231,queens,ny,13180,14794,16613,2013-07-01,2016-06-30
110016,troup,ga,21575,23264,25137,2013-04-01,2016-03-31
330108,chemung,ny,13066,14701,16349,2013-07-01,2016-06-30
220060,plymouth,ma,22327,24234,26207,2013-07-01,2016-06-30
190017,saint landry,la,16884,17842,18765,2013-07-01,2016-06-30
180138,oldham,ky,19018,20565,22277,2013-04-01,2016-03-31
521354,grant,wi,13137,15465,18235,2013-07-01,2016-06-30
440020,giles,tn,15198,16616,17999,2013-07-01,2016-06-30
490046,norfolk city,va,23790,24198,24625,2013-04-01,2016-03-31
350019,grand forks,nd,15118,16169,17281,2013-07-01,2016-06-30
310075,monmouth,nj,18666,19983,21258,2013-07-01,2016-06-30
390119,lackawanna,pa,17456,18945,20670,2013-07-01,2016-06-30
341323,avery,nc,13053,14835,16916,2013-07-01,2016-06-30
360051,montgomery,oh,15980,16892,17872,2013-07-01,2016-06-30
231327,eaton,mi,13367,15359,17619,2013-07-01,2016-06-30
040041,pope,ar,21446,23266,25275,2013-07-01,2016-06-30
110089,coffee,ga,19481,20899,22427,2013-04-01,2016-03-31
260034,bates,mo,19188,21661,24577,2013-04-01,2016-03-31
